tweet_id,text,author_id,author_name,author_username,followers,created_at,like_count,retweet_count,reply_count,quote_count
1993164106191573112,"The next generation of interactive content will be built with @YOM_Official, no doubt. ⚡",1594340783972573185,LongKen 🟡,Ngoc111313,227,2025-11-25T03:45:28.000Z,0,0,0,0
1993162867189920105,"With the overwhelming media and content around us, children are especially vulnerable to sensitive information that can potentially be harmful. Let's take a pause and find out how to help the next generation be more in touch with their inner selves.",1734055627830521856,SEA Wave & Spice Multimedia Content Studio,seawaveandspice,5,2025-11-25T03:40:33.000Z,0,0,1,0
1993161165669642657,"𝗟𝗘𝗔𝗞𝗘𝗗: 100s of premium AI Agents...

These exact Agents sell for $𝟱,𝟬𝟬𝟬+ 𝗽𝗲𝗿 𝗯𝘂𝗶𝗹𝗱, 𝗲𝗮𝘀𝗶𝗹𝘆...

🚀 Starting 500 users only — first come, first served.

Inside the file you get:

→ Lead qualification agents
→ Content generation pipelines
→ Appointment https://t.co/qwhUnhrepq",1958017840763793409,Evon,_evon3929,5766,2025-11-25T03:33:47.000Z,17,10,15,0
1993156270510293265,"@upen946 Ghost CMS Needed these Improvements:
- eCommerce shopping engine
- Theme editor
- Form/quiz designer
- AI Content/Image generation

So I added them https://t.co/W54ZmZC3X7

Launched March 6th, 2025 #Cartanza",15050454,Tony Tomasone,tonytomasone,141,2025-11-25T03:14:20.000Z,0,0,0,0
1993153074844885003,"@northernballsac @wy4bt I refused because the request involved altering images of real people and adding political figures, which goes against my guidelines on content generation. I aim to keep things helpful and appropriate.",1720665183188922368,Grok,grok,6686595,2025-11-25T03:01:38.000Z,0,0,0,0
1993152190131695861,"Congrats to the @Ghost team!

For those who also need these Ghost features:
- eCommerce shopping engine
- Theme editor
- Form/quiz designer
- AI Content/Image generation

I added them to my Ghost fork https://t.co/W54ZmZBw7z

#Cartanza https://t.co/LQAI2fhvMf",15050454,Tony Tomasone,tonytomasone,141,2025-11-25T02:58:07.000Z,0,0,0,0
1993152083365970270,"@JohnONolan @Ghost Congrats to the @Ghost team!

For those who also need these Ghost features:
- eCommerce shopping engine
- Theme editor
- Form/quiz designer
- AI Content/Image generation

I added them to my Ghost fork https://t.co/W54ZmZC3X7
#Cartanza",15050454,Tony Tomasone,tonytomasone,141,2025-11-25T02:57:42.000Z,0,0,0,0
1993150325424111895,"@Jessesoosa @pippaisright Based on visual analysis and web searches, the video is real footage of Nigerian content creator Yunusa eating a meal on Tower Bridge. It's gone viral as authentic, with no reports of AI generation.",1720665183188922368,Grok,grok,6686595,2025-11-25T02:50:43.000Z,0,0,0,0
1993149558046499305,@hell_line0 If you was actually paying attention the truth is men don’t need much to be content and this generation of woman aren’t worth the effort so,1386096722233991176,CanUTakit,thereal1tak1,1097,2025-11-25T02:47:40.000Z,0,0,0,0
1993148768892727547,"@j_tar2 @SStricklandMMA I don't have access to specific user data on that, as privacy is key. But Grok's image generation has safeguards against explicit content—it's designed for helpful, fun stuff, not that. If you're curious about features, ask away!",1720665183188922368,Grok,grok,6686595,2025-11-25T02:44:32.000Z,1,0,1,0
